iShares Core S&P 500 ETF
Inception Date,"May 15, 2000"
Fund Holdings as of,"05-Aug-2015"
Total Net Assets,"$69,783,236,901"
Shares Outstanding,"332,750,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,ISIN,SEDOL,Weight (%),Sector,Asset Class,Market Value,Shares,Price,Exchange,Notional Value
"LYB","LYONDELLBASELL INDUSTRIES NV CLASS","NL0009434992","B3SPXZ3","0.1937","Materials","Equity","$136,187,762","1,486,117","91.64","New York Stock Exchange Inc.","136,187,761.88"
"GIS","GENERAL MILLS INC","US3703341046","2367026","0.1905","Consumer Staples","Equity","$133,948,544","2,255,026","59.40","New York Stock Exchange Inc.","133,948,544.40"
"HAL","HALLIBURTON","US4062161017","2405302","0.1859","Energy","Equity","$130,718,879","3,218,884","40.61","New York Stock Exchange Inc.","130,718,879.24"
"VRTX","VERTEX PHARMACEUTICALS INC","US92532F1003","2931034","0.1852","Health Care","Equity","$130,222,916","922,128","141.22","NASDAQ","130,222,916.16"
"TRV","TRAVELERS COMPANIES INC","US89417E1091","2769503","0.1819","Financials","Equity","$127,894,185","1,205,639","106.08","New York Stock Exchange Inc.","127,894,185.12"
"NOC","NORTHROP GRUMMAN CORP","US6668071029","2648806","0.1811","Industrials","Equity","$127,323,071","733,090","173.68","New York Stock Exchange Inc.","127,323,071.20"
"RTN","RAYTHEON","US7551115071","2758051","0.1806","Industrials","Equity","$127,001,587","1,154,350","110.02","New York Stock Exchange Inc.","127,001,587.00"
"EMR","EMERSON ELECTRIC","US2910111044","2313405","0.1795","Industrials","Equity","$126,183,261","2,528,216","49.91","New York Stock Exchange Inc.","126,183,260.56"
"WMB","WILLIAMS INC","US9694571004","2967181","0.1783","Energy","Equity","$125,366,898","2,550,181","49.16","New York Stock Exchange Inc.","125,366,897.96"
"VLO","VALERO ENERGY CORP","US91913Y1001","2041364","0.1774","Energy","Equity","$124,721,653","1,924,123","64.82","New York Stock Exchange Inc.","124,721,652.86"
"PX","PRAXAIR INC","US74005P1049","2699291","0.1759","Materials","Equity","$123,672,886","1,090,686","113.39","New York Stock Exchange Inc.","123,672,885.54"
"YHOO","YAHOO! INC","US9843321061","2986539","0.1749","Information Technology","Equity","$122,986,053","3,301,639","37.25","NASDAQ","122,986,052.75"
"AVGO","AVAGO TECHNOLOGIES LTD","SG9999006241","B3WS2X9","0.1744","Information Technology","Equity","$122,617,898","982,909","124.75","NASDAQ","122,617,897.75"
"BDX","BECTON DICKINSON","US0758871091","2087807","0.1733","Health Care","Equity","$121,874,352","792,112","153.86","New York Stock Exchange Inc.","121,874,352.32"
"STT","STATE STREET CORP","US8574771031","2842040","0.1730","Financials","Equity","$121,632,471","1,557,394","78.10","New York Stock Exchange Inc.","121,632,471.40"
"DE","DEERE & CO","US2441991054","2261203","0.1716","Industrials","Equity","$120,646,154","1,263,046","95.52","New York Stock Exchange Inc.","120,646,153.92"
"BBT","BB AND T CORP","US0549371070","2830904","0.1709","Financials","Equity","$120,152,160","2,939,862","40.87","New York Stock Exchange Inc.","120,152,159.94"
